Local Case Number,Crash Date/Time,Road Name,Related Non-Motorist,Weather,Surface Condition,Light,Driver Substance Abuse,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Year,Month,Hour
240049380,10/16/2024 06:50:00 AM,SHOREFIELD RD,Pedestrian,Clear,Dry,Medium,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,None (No Improper Action),Intersection Marked Crosswalk,No,No Apparent Injury,None,39.05304251,-77.05085257,2024,10,6
240049311,10/15/2024 05:00:00 PM,GEORGIA AVE (SB/L),Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,Dart/Dash,Intersection Marked Crosswalk,No,Possible Minor Injury,None,39.06015176,-77.05113906,2024,10,17
240049107,10/14/2024 02:23:00 PM,NA,Pedestrian,Clear,NA,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Other Working,None (No Improper Action),NonTrafficway Area,No,Possible Minor Injury,None,38.98318731,-76.98643948,2024,10,14
240049055,10/14/2024 11:10:00 AM,GEORGIA AVE (SB/L),Cyclist (non-electric),Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Cyclist (non-electric),Walking/Cycling on Sidewalk,Unknown,Sidewalk,No,No Apparent Injury,None,39.15496263,-77.06705986,2024,10,11
240049020,10/14/2024 07:20:00 AM,BRADLEY BLVD,Cyclist (non-electric),Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Cyclist (non-electric),Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),None (No Improper Action),Intersection Other,No,Possible Minor Injury,"Helmet, Lighting, Reflectors",38.99303314,-77.12081277,2024,10,7
240048973,10/13/2024 08:50:00 PM,GRAND PRE RD,Pedestrian,Clear,Dry,Dark,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,Unknown,Sidewalk,No,Possible Minor Injury,None,39.09274296,-77.07647884,2024,10,20
240048961,10/13/2024 06:28:00 PM,NA,Pedestrian,Clear,NA,Medium,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Other,None (No Improper Action),Other,No,Possible Minor Injury,None,39.20445793,-77.24508927,2024,10,18
240048636,10/11/2024 04:56:00 PM,ROCKVILLE PIKE (SB/L),"Other Pedestrian (person in a building, skater, personal conveyance, etc.)",Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use","Other Pedestrian (person in a building, skater, personal conveyance, etc.)",Cross/Enter at Intersection,Failure to Yield Right-Of-Way,Intersection Other,No,Possible Minor Injury,None,39.05508381,-77.1182656,2024,10,16
240048574,10/11/2024 12:17:00 PM,GEORGIA AVE (SB/L),Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter Not at Intersection,Dart/Dash,Travel Lane Other Location,Yes,Suspected Serious Injury,None,38.99908177,-77.03153301,2024,10,12
240048515,10/11/2024 08:05:00 AM,NA,Cyclist (Electric),Clear,NA,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Cyclist (Electric),Walking/Cycling on Sidewalk,None (No Improper Action),Sidewalk,No,Possible Minor Injury,Unknown,39.07389231,-77.13484794,2024,10,8
240048472,10/10/2024 09:09:00 PM,NA,Cyclist (non-electric),Clear,Dry,Dark,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Cyclist (non-electric),Other,"Not Visible (Dark Clothing, No Lighting, etc.)",Other,No,Possible Minor Injury,Helmet,39.17949954,-77.23864436,2024,10,21
240048444,10/10/2024 06:15:00 PM,TRANSHIRE RD,Pedestrian,Clear,Dry,Medium,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter Not at Intersection,"Failure to Yield Right-Of-Way, In Roadway Improperly (Standing, Lying, Working, Playing), Inattentive (Talking, Eating, etc.)",Other,Yes,Suspected Serious Injury,None,39.17548494,-77.19808562,2024,10,18
240048403,10/10/2024 03:02:00 PM,GEORGIA AVE,Scooter (electric),Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Scooter (electric),Walking/Cycling on Sidewalk,Other,Sidewalk,No,Possible Minor Injury,None,39.07918842,-77.07285935,2024,10,15
240048346,10/10/2024 09:16:00 AM,CHERRY VALLEY DR,"Other Pedestrian (person in a building, skater, personal conveyance, etc.)",Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use","Other Pedestrian (person in a building, skater, personal conveyance, etc.)",Other,Other,Travel Lane Other Location,No,Suspected Serious Injury,Helmet,39.13927077,-77.06978133,2024,10,9
